,listing_id,price,nbhood_full,description,room_type,host_name,last_review,borough
175,61509,110,"Manhattan, Midtown","Quiet, clean midtown apt w. elevato",entire home/apt,Anna/Fonzy,April 30 2019,Manhattan
176,62095,65,"Brooklyn, East Flatbush",BK Sweet Suite w/Kitchen&FullBath,entire home/apt,Colette&Sean,June 14 2019,Brooklyn
177,62427,130,"Manhattan, East Village",Great East Village Apartment Rental,entire home/apt,Brie,May 26 2019,Manhattan
178,62430,99,"Brooklyn, Bushwick",BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt,Sheila,June 22 2019,Brooklyn
179,62452,36,"Staten Island, Tompkinsville",A SpeciaL!! Private Room in NY,private room,Lissette,June 25 2019,Staten
180,62461,37,"Staten Island, Tompkinsville",B NYC Staten Alternative...,private room,Lissette,June 10 2019,Staten
181,62787,37,"Staten Island, Tompkinsville",C Private Room By The Ferry,private room,Lissette,July 02 2019,Staten
182,62891,175,"Manhattan, East Village",Smallest House In The Village,entire home/apt,Olivia,May 24 2019,Manhattan
183,62903,205,"Manhattan, Chelsea",Beautiful modern studio apartment in heart of NYC,entire home/apt,Daniel,June 21 2019,Manhattan
184,62925,285,"Brooklyn, Greenpoint",Beautiful Landmarked Duplex,entire home/apt,Maya,June 16 2019,Brooklyn
185,63299,59,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room,Scott,June 23 2019,Brooklyn
186,63320,36,"Staten Island, Tompkinsville",D Private Che@p Room 2 Explore NYC,private room,Lissette,July 02 2019,Staten
187,63360,99,"Queens, Astoria",Safe cute near subway& Manhattan NY NY retro style,entire home/apt,Dennis & Naoko,June 24 2019,Queens
188,63546,39,"Brooklyn, Kensington",Large and Cozy Private Bedroom,private room,Antonín,May 16 2019,Brooklyn
189,63610,105,"Bronx, Eastchester",DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt,Vie,June 27 2019,Bronx
190,63657,135,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt,Renée,June 25 2019,Brooklyn
191,63693,390,"Manhattan, East Village",Cottage in the Village,entire home/apt,Olivia,June 19 2019,Manhattan
192,64000,60,"Brooklyn, Williamsburg",Williamsburg near soho. / loftbed,private room,Kristian & Di,January 07 2019,Brooklyn
193,64107,100,"Brooklyn, Crown Heights",BROOKLYN  STUDIO APARTMENT,private room,Niya,June 24 2019,Brooklyn
194,64277,70,"Brooklyn, Bedford-Stuyvesant",BEDROOM2 FOR RENT  10min from Manh,private room,Helene,January 02 2019,Brooklyn
195,64314,110,"Brooklyn, Crown Heights",cozy bedroom in lovely garden apt,private room,Debbie,May 26 2019,Brooklyn
196,64365,60,"Brooklyn, Crown Heights",Crown Heights Garden Apt.,private room,Anthony,June 27 2019,Brooklyn
197,64707,90,"Manhattan, Little Italy",Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt,Tilly,January 02 2019,Manhattan
198,64837,68,"Manhattan, East Village",ENJOY Downtown NYC!!,private room,Edward,June 23 2019,Manhattan
199,65019,115,"Manhattan, Upper West Side",Charming UWS Treehouse Apt,entire home/apt,Claire,July 06 2019,Manhattan
200,65268,75,"Brooklyn, Bedford-Stuyvesant",Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room,Juhli,January 05 2019,Brooklyn
201,65562,129,"Manhattan, East Village",CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt,Mary D,January 03 2019,Manhattan
202,65615,130,"Brooklyn, Williamsburg",Farmhouse Apartment in Williamsburg,entire home/apt,Valerie,June 29 2019,Brooklyn
203,65660,95,"Brooklyn, Williamsburg",Bright+Spacious Williamsburg Abode!,entire home/apt,Larissa,July 07 2019,Brooklyn
204,65813,75,"Manhattan, Harlem","Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room,Eric,January 02 2019,Manhattan
205,66008,190,"Brooklyn, Carroll Gardens",CHARMING CARROLL GARDENS APT.,entire home/apt,Melissa,July 01 2019,Brooklyn
206,66026,49,"Brooklyn, Crown Heights",Private Bedroom Brownstone Brooklyn,private room,Alex,June 30 2019,Brooklyn
207,66251,212,"Manhattan, East Village",East Village Loft with Piano & Patio,entire home/apt,Samir,June 25 2019,Manhattan
208,66275,95,"Manhattan, Lower East Side",Lower East Side Magic Room,private room,Tony,June 23 2019,Manhattan
209,66451,140,"Brooklyn, Williamsburg",**Fantastic Williamsburg Apt**,entire home/apt,Luis Fernando,February 16 2019,Brooklyn
210,66718,135,"Manhattan, Harlem",West Harlem Home Base - Eco-Apt.,entire home/apt,Henning,June 23 2019,Manhattan
211,66741,150,"Brooklyn, Park Slope",Charming Garden Apt in Park Slope,entire home/apt,Stefano,June 23 2019,Brooklyn
212,66974,190,"Brooklyn, Gowanus","Lovely, Modern, Garden Apartment",entire home/apt,Jana,July 01 2019,Brooklyn
213,67288,124,"Manhattan, East Harlem",Central Park 1BR sunny condo,entire home/apt,Per,June 15 2019,Manhattan
214,67299,135,"Brooklyn, Williamsburg",Cozy Garden Apartment  in Williamsburg,entire home/apt,Adrienne,May 06 2019,Brooklyn
215,67397,122,"Manhattan, Morningside Heights",SoHa comfort-by NW Central Park!,private room,Elise,June 22 2019,Manhattan
216,68099,109,"Manhattan, Upper West Side",Cozy room in Upper West Side,private room,Deda,June 25 2019,Manhattan
217,68403,145,"Brooklyn, Bedford-Stuyvesant",The Cozy Brownstone Inn (discount)!,entire home/apt,Naimah,June 24 2019,Brooklyn
218,68735,195,"Manhattan, Upper West Side",Prewar Penthouse w Private Terrace,entire home/apt,Violetta,June 13 2019,Manhattan
219,68765,250,"Brooklyn, Carroll Gardens",Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt,Jenna,June 27 2019,Brooklyn
220,68974,575,"Manhattan, Little Italy",Unique spacious loft on the Bowery,entire home/apt,Alicia,June 20 2019,Manhattan
221,69894,150,"Manhattan, Upper West Side","Nice renovated apt, prime location!",entire home/apt,Silvia,June 11 2019,Manhattan
222,69921,70,"Brooklyn, Bushwick",Brooklyn Writer's Nook,private room,Joab,June 29 2019,Brooklyn
223,70095,90,"Manhattan, Inwood",Private Bedroom in Large NYC Apartment,private room,Mary And Geoff,June 30 2019,Manhattan
224,70128,65,"Manhattan, East Village","Large, Sunny Room East Village NYC",private room,Eyal,January 10 2019,Manhattan
225,70609,500,"Manhattan, East Village",Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/apt,Bruce,June 16 2019,Manhattan
226,71010,250,"Manhattan, Washington Heights",All That Jazz. Uptown style on Sugar Hill.,entire home/apt,Kurt,May 24 2019,Manhattan
227,71248,125,"Manhattan, Chinatown",Bright and lovely 1 bdrm apt in LES,entire home/apt,Jennifer,June 17 2019,Manhattan
228,71366,200,"Manhattan, West Village",Beautiful One Bed West Village - 4 Month Special,entire home/apt,Ruperto,June 25 2019,Manhattan
229,71812,90,"Bronx, Kingsbridge",Condo Apartment with laundry in unit,entire home/apt,Thai,January 02 2019,Bronx
230,72190,110,"Manhattan, Upper West Side",1BR: See Central Park from Terrace!,entire home/apt,Hudson,February 15 2019,Manhattan
231,72265,59,"Brooklyn, Greenpoint",Private room in cozy Greenpoint,private room,Vanessa,June 16 2019,Brooklyn
232,74073,195,"Brooklyn, Williamsburg",Food & Music Dream Apartment in Williamsburg,entire home/apt,Daniel,June 23 2019,Brooklyn
233,74240,169,"Brooklyn, Williamsburg",French Garden cottage off Bedford,entire home/apt,Patty,June 07 2019,Brooklyn
234,74680,115,"Queens, Astoria",One Bedroom Mini studio - Free WIFI,entire home/apt,Nazleen,May 31 2019,Queens
235,75193,69,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ King Bed in Williamsburg,private room,Scott,June 22 2019,Brooklyn
236,75635,150,"Manhattan, Lower East Side",Bright Cozy Chinatown Studio Apt.,entire home/apt,Patricia,June 27 2019,Manhattan
237,76761,169,"Brooklyn, South Slope",Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,entire home/apt,Evelyn,June 28 2019,Brooklyn
238,77765,179,"Brooklyn, Greenpoint",Superior @ Box House,private room,The Box House Hotel,July 01 2019,Brooklyn
239,77936,150,"Manhattan, Hell's Kitchen",Hells Kitchen Garden of Eden,private room,Moss Owen,June 14 2019,Manhattan
240,79067,350,"Brooklyn, Clinton Hill",Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt,Bliss,April 20 2019,Brooklyn
241,79782,120,"Brooklyn, Williamsburg","Williamsburg HUGE, PRIVATE BATH - Next to Train!",private room,Pam,March 31 2019,Brooklyn
242,80493,71,"Manhattan, East Village",Cozy room in East Village with AC,private room,Jennifer,July 04 2019,Manhattan
243,80700,349,"Brooklyn, Greenpoint",Loft w/ Terrace @ Box House Hotel,private room,The Box House Hotel,May 24 2019,Brooklyn
244,82550,200,"Brooklyn, Brooklyn Heights",Columbia Castle 2 BR,entire home/apt,Christopher,June 30 2019,Brooklyn
245,82638,169,"Manhattan, East Village","Charming Artist's Flat, East Village",entire home/apt,Sarah,June 06 2019,Manhattan
246,82928,185,"Brooklyn, Bedford-Stuyvesant",BEAUTIFUL 2 BEDROOM APARTMENT,entire home/apt,Ruthven,July 02 2019,Brooklyn
247,83243,65,"Brooklyn, Bushwick",Brooklyn Cove Studio Apt w/ Garden!!,entire home/apt,Julian,June 10 2019,Brooklyn
248,83847,225,"Manhattan, East Village",East Village Designer's 1-BR APT,entire home/apt,Yvette,January 02 2019,Manhattan
249,84010,179,"Brooklyn, Greenpoint",Superior @ Box House,private room,The Box House Hotel,June 27 2019,Brooklyn
250,84659,139,"Manhattan, East Village",Large Studio--Heart of East Village,entire home/apt,Kyle,June 26 2019,Manhattan
251,84905,95,"Manhattan, Two Bridges",Huge.Bright.Clean.Safe. Private Room,private room,Ange,June 23 2019,Manhattan
252,85094,79,"Brooklyn, Crown Heights",Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,entire home/apt,Alex,January 14 2019,Brooklyn
253,86215,150,"Manhattan, Lower East Side",MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,entire home/apt,T,June 24 2019,Manhattan
254,89621,90,"Brooklyn, Bedford-Stuyvesant","WONDERFUL, COMFORTABLE STUDIO",entire home/apt,Marylyn,June 28 2019,Brooklyn
255,93313,120,"Brooklyn, Bedford-Stuyvesant",MAISON DES SIRENES 2,entire home/apt,Nathalie,June 23 2019,Brooklyn
256,94035,80,"Queens, Astoria","Modern, Safe, Clean, Bright Room in Astoria for 2",private room,Savannah,July 06 2019,Queens
257,94477,175,"Brooklyn, Bedford-Stuyvesant",The Vernon On Greene,entire home/apt,Jason,July 05 2019,Brooklyn
258,94783,120,"Brooklyn, Crown Heights","Beautiful, Bright‚Äôs, Warm & Spacious 1.5BR Apt",entire home/apt,Keishera,June 21 2019,Brooklyn
259,96471,165,"Brooklyn, Clinton Hill","The Brooklyn Waverly, One Bedroom",private room,Sahr,June 07 2019,Brooklyn
260,99070,65,"Manhattan, East Harlem",Comfortable Cozy Space in El Barrio,shared room,Liz And Melissa,May 26 2019,Manhattan
261,99085,123,"Brooklyn, Fort Greene",Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,entire home/apt,Wanda,May 01 2019,Brooklyn
262,100002,67,"Manhattan, Washington Heights","MANHATTAN Neat, Nice, Bright ROOM",private room,Giorgio,June 17 2019,Manhattan
263,100184,50,"Queens, Queens Village",Bienvenue,private room,0,July 08 2019,Queens
264,100186,130,"Brooklyn, Gowanus",Large Brand New Park Slope 1BR,entire home/apt,Mi,June 28 2019,Brooklyn
265,101053,100,"Brooklyn, Williamsburg",Colorful Artistic Williamsburg Apt,private room,Lee And Tara,March 01 2019,Brooklyn
266,103161,190,"Brooklyn, Williamsburg",Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,entire home/apt,Ade,June 26 2019,Brooklyn
267,103806,249,"Manhattan, East Village",BOHEMIAN EAST VILLAGE 2 BED HAVEN,entire home/apt,Jason,May 27 2019,Manhattan
268,105510,100,"Brooklyn, Crown Heights",Private 1-Bedroom Apt in Townhouse,entire home/apt,Alex,January 05 2019,Brooklyn
269,106363,60,"Manhattan, Harlem",Bright Room With A Great River View,private room,Alicia,June 26 2019,Manhattan
270,106647,135,"Brooklyn, Bedford-Stuyvesant",Tree lined block modern apartment,entire home/apt,Olivia,June 16 2019,Brooklyn
271,107630,175,"Brooklyn, Greenpoint",Sweet Historic Greenpoint Duplex,entire home/apt,Maya,June 20 2019,Brooklyn
272,107895,120,"Manhattan, Upper West Side",Riverside Charm with Fire Place,entire home/apt,Kai,June 19 2019,Manhattan
273,110739,169,"Manhattan, Midtown","Very Central, Nomad/Chelsea Loft Studio",entire home/apt,Driss,July 03 2019,Manhattan
274,112435,95,"Brooklyn, Fort Greene",ALL ABOUT A VERY COMFORTABLE ROOM..,private room,Carol,May 24 2019,Brooklyn
